objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
jmtgmc011,gmc75a.pdf,,,Ascending Mt. Castleguard,W.O. Field,1923-07-06,"Field looks down at the miniscule silhouettes of J.M. Thorington, W.S. Ladd, and J. Simpson against the Castleguard slope. While these three eventually complete the ascent, Field does not.",Mountain; Travel; Landscape; 2nd Expedition,Mt. Castleguard,52.10198460458436,-117.26049335103843,"Manuscript of The Glittering Mountains of Canada; J. Monroe Thorington Collection, WC005, Manuscripts Division, Department of Special Collections, Princeton University Library.",,Image;StillImage,application/pdf,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Princeton University Special Collections. For other uses beyond free use, please contact Princeton University Special Collections at specialcollections@princeton.libanswers.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/
jmtgmc012,gmc80ab.pdf,,,Panoramic Photograph and Sketch from Mt. Columbia,J.M. Thorington,1923-07-14,"""The first panorama of the Canadian Rockies made at an elevation of more than twelve thousand feet,"" this sketch contains significantly more detail than its matching reference photograph, containing glaciers, named and unnamed peaks. The sketch faces East from Mt. Columbia.",Mountain; Map; Panorama; Drawing; 2nd Expedition,Mt. Columbia,52.10121634970185,-117.43941487996007,"Manuscript of The Glittering Mountains of Canada; J. Monroe Thorington Collection, WC005, Manuscripts Division, Department of Special Collections, Princeton University Library.",,Image;StillImage,application/pdf,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Princeton University Special Collections. For other uses beyond free use, please contact Princeton University Special Collections at specialcollections@princeton.libanswers.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/
jmtgmc013,gmc86.pdf,,,Terrace Valley and S.W. Face Of Mt. Saskatchewan,J.M. Thorington; Interprovincial Boundary Commission,1923-07-12,"Although this photograph is not Thorington's own, he still makes his mark on this image in the dotted line which approximates his journey. This annotated photograph provides a different effect than the average bird's-eye trail map in visualizing a journey, as it prioritizes vertical elevation over horizontal distance.",Mountain; Map; Landscape; 2nd Expedition,Mt. Saskatchewan,52.08110333997178,-117.09719029220228,"Manuscript of The Glittering Mountains of Canada; J. Monroe Thorington Collection, WC005, Manuscripts Division, Department of Special Collections, Princeton University Library.",,Image;StillImage,application/pdf,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Princeton University Special Collections. For other uses beyond free use, please contact Princeton University Special Collections at specialcollections@princeton.libanswers.com. ",https://rightsstatements.org/vocab/InC-EDU/1.0/
jmtgmc014,gmc87a.pdf,,,Mt. Saskatchewan From the N.W.,W.S. Ladd,1923-07-12,"Thorington is guided by C. Kain towards Mt. Saskatchewan. ""It was the loveliest day imaginable,"" Thorington writes, ""The peaks stood out against a turquoise background, so beautifully sharp and clear, with filmy wisps of multi-coloured, diaphanous mist clinging to their lower slope.""",Mountain; Valley; Landscape; Travel; 2nd Expedition,Mt. Saskatchewan,52.10079219895527,-117.09589274547872,"Manuscript of The Glittering Mountains of Canada; J. Monroe Thorington Collection, WC005, Manuscripts Division, Department of Special Collections, Princeton University Library.",,Image;StillImage,application/pdf,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Princeton University Special Collections. For other uses beyond free use, please contact Princeton University Special Collections at specialcollections@princeton.libanswers.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/
jmtgmc015,gmc87b.pdf,,,Summit of Mt. Saskatchewan,W.S. Ladd,1923-07-12,"J.M. Thorington (left) and C. Kain (right) look over the precipice of the mountain. Rather than capturing the view they appear to be so struck by, Ladd instead memorializes their presence on the mountain's peak.",Mountain; 2nd Expedition,Mt. Saskatchewan,52.10079219895527,-117.09589274547872,"Manuscript of The Glittering Mountains of Canada; J. Monroe Thorington Collection, WC005, Manuscripts Division, Department of Special Collections, Princeton University Library.",,Image;StillImage,application/pdf,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Princeton University Special Collections. For other uses beyond free use, please contact Princeton University Special Collections at specialcollections@princeton.libanswers.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/
jmtgmc016,gmc90b.pdf,,,"Approaching Mt. Columbia, Three Miles Distant ",W.S. Ladd,1923-07-14,"Though this mountain's summit is ""Three Miles Distant,"" the brightness of the environment and minimalist nature of the photograph provide no frame of reference for the scale of the mountain itself, apart from the tiny Thorington and his guide (C. Kain) in the corner. This stands in opposition to many of Thorington's photographs, which tend to situate mountains in a greater setting, a technique to emphasize their height.",Mountain; Landscape; Travel; 2nd Expedition,Mt. Columbia,52.10121634970185,-117.43941487996007,"Manuscript of The Glittering Mountains of Canada; J. Monroe Thorington Collection, WC005, Manuscripts Division, Department of Special Collections, Princeton University Library.",,Image;StillImage,application/pdf,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Princeton University Special Collections. For other uses beyond free use, please contact Princeton University Special Collections at specialcollections@princeton.libanswers.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/
jmtgmc017,gmc99a.pdf,,,The First Passage Of The Saskatchewan Glacier With Horses,J.M. Thorington,1923-07-16,"The glacial path from Mt. Castleguard (not pictured) to Mt. Athabaska was known by guides at the time to be rough, especially as the altitude was not ideal for horses. Yet, Thorington and his party proved it to be the most efficient route between the two locations in terms of sheer distance.",Mountain; Horses; Landscape; Travel; 2nd Expedition,Mt. Athabaska; Mt. Saskatchewan,52.14940307969408,-117.14523004447078,"Manuscript of The Glittering Mountains of Canada; J. Monroe Thorington Collection, WC005, Manuscripts Division, Department of Special Collections, Princeton University Library.",,Image;StillImage,application/pdf,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Princeton University Special Collections. For other uses beyond free use, please contact Princeton University Special Collections at specialcollections@princeton.libanswers.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/
jmtgmc019,gmc138.pdf,,,Reduction of The Rocky Mountains from the Columbia River,H.J. Warre; J.M. Thorington,,"Originally made by mountaineer Henry Warre in 1849, Thorington prints a reduction of the right half of this painting into his book to situate himself within a larger canon of mountain expeditions. This helps him highlight the idea that by travelling along trails, he is quite literally walking in the footsteps of past mountaineers.",Valley; Landscape; Drawing,,,,"The Rocky Mountains from the Columbia River Looking N.W.; Henry J. Warre, oil on canvas, 1848: as reduced in The Glittering Mountains of Canada (1925).",,Image;StillImage,application/pdf,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Princeton University Special Collections. For other uses beyond free use, please contact Princeton University Special Collections at specialcollections@princeton.libanswers.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/
jmtgmc020,gmc170ab.pdf,,,"Members of 1970 Expedition: Mt. Evans, Mt. Kane",J.M. Thorington,1924-06-28,"Photographs of Thorington and his party before they begin the last expedition recorded in his book. Note that the lower photograph is titled after the mountains in the background, rather than the valley or campground that the photographer is situated in.",Valley; Portrait; Lake; Campsite; 3rd Expedition,Whirlpool Valley,52.54634835816508,-118.01311753802577,"Manuscript of The Glittering Mountains of Canada; J. Monroe Thorington Collection, WC005, Manuscripts Division, Department of Special Collections, Princeton University Library.",,Image;StillImage,application/pdf,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Princeton University Special Collections. For other uses beyond free use, please contact Princeton University Special Collections at specialcollections@princeton.libanswers.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/
jmtgmc021,gmc179ab.pdf,,,Pack-Train Traversing Athabaska Pass,J.M. Thorington,1924-06-29,"The Athabaska ""Punch Bowl"" was named by and for the Hudson Valley Company in the early 1800s. It marks a crucial moment in Thorington's final journey, as it is the official boundary between Alberta and British Columbia. While both photographs include horses, Thorington seems to have taken these on foot, off his horse.",Valley; Horses; 3rd Expedition,"Athabaska Pass, National Historic Site",52.38349295477327,-118.18530531655173,"Manuscript of The Glittering Mountains of Canada; J. Monroe Thorington Collection, WC005, Manuscripts Division, Department of Special Collections, Princeton University Library.",,Image;StillImage,application/pdf,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Princeton University Special Collections. For other uses beyond free use, please contact Princeton University Special Collections at specialcollections@princeton.libanswers.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/
jmtgmc022,gmc202b.pdf,,,The Ramparts from Amethyst Lakes,J.M. Thorington,1924-07-12,"""When one sees [the Ramparts], curving in sinuous, unbroken length, with spaced peaks like vertebral spines age-old and worn, it takes but little imagination to think of it as the dorsal skeleton of some gigantic creature of ages past,"" Thorington elaborates.",Valley; Mountain; Lake; Landscape; 3rd Expedition,Amethyst Lakes,52.7019504295299,-118.26751899085605,"Manuscript of The Glittering Mountains of Canada; J. Monroe Thorington Collection, WC005, Manuscripts Division, Department of Special Collections, Princeton University Library.",,Image;StillImage,application/pdf,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Princeton University Special Collections. For other uses beyond free use, please contact Princeton University Special Collections at specialcollections@princeton.libanswers.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/
jmtgmc023,gmc203.pdf,,,Reduction of Tonquin Valley and the Ramparts,J.M. Thorington; Interprovincial Boundary Commission,,"Originally produced by the Interprovincial Boundary Commission in 1915, Thorington uses this reduction to provide a frame of reference for his journey. A map such as this draws attention to the horizontal spread of the Canadian Rockies, and thus how much ground Thorington has covered by climbing them all in sequence.",Map; Drawing; 3rd Expedition,,,,"Manuscript of The Glittering Mountains of Canada; J. Monroe Thorington Collection, WC005, Manuscripts Division, Department of Special Collections, Princeton University Library.",,Image;StillImage,application/pdf,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Princeton University Special Collections. For other uses beyond free use, please contact Princeton University Special Collections at specialcollections@princeton.libanswers.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/
jmtgmc024,gmc235abc.pdf,,,Photographs Along the Ascent of Mt. Robson,H. Pollard,1924-07-25,"A series of three photographs, taken at different points in the journey up the mountain: before, during, and at the completion of the ascent. Interestingly, only the photograph from the top of the mountain contains other members of Thorington's party.",Mountain; Landscape; Travel; 3rd Expedition,Mt. Robson,53.10455675021917,-119.15706126672237,"Manuscript of The Glittering Mountains of Canada; J. Monroe Thorington Collection, WC005, Manuscripts Division, Department of Special Collections, Princeton University Library.",,Image;StillImage,application/pdf,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Princeton University Special Collections. For other uses beyond free use, please contact Princeton University Special Collections at specialcollections@princeton.libanswers.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/
jmtgmc025,gmc6.pdf,,,Reduction of Map of The Canadian Rockies Between the Canadian Pacific and Canadian National Railroads,J.M. Thorington; Unknown,,"Thorington does not indicate the original source of this map, only that it is reduced. Nonetheless, as it is early in the book, it provides a frame of reference that readers can easily reference back to when understanding the names and locations of each mountain Thorington references.",Map; Drawing,,,,"Manuscript of The Glittering Mountains of Canada; J. Monroe Thorington Collection, WC005, Manuscripts Division, Department of Special Collections, Princeton University Library.",,Image;StillImage,application/pdf,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Princeton University Special Collections. For other uses beyond free use, please contact Princeton University Special Collections at specialcollections@princeton.libanswers.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/
